,ASSETID,PERIOD,PRICE,UNITPRICE,ADTYPOLOGYID,ADOPERATIONID,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,AMENITYID,HASPARKINGSPACE,ISPARKINGSPACEINCLUDEDINPRICE,PARKINGSPACEPRICE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,CONSTRUCTIONYEAR,FLOORCLEAN,FLATLOCATIONID,CADCONSTRUCTIONYEAR,CADMAXBUILDINGFLOOR,CADDWELLINGCOUNT,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_CASTELLANA,LONGITUDE,LATITUDE,CITYNAME,ADTYPOLOGY,ADOPERATION
15477,A1939157683777299681,201803,127000,1209.52380952381,HOME,SALE,105,3,2,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,1.0,1.0,1999,10,48,5.0,0,0,1,4.385311828344559,1.3669865931581566,2.003669689990158,-3.67267881287799,40.3851167135628,Madrid,HOME,SALE
8983,A17835985663475884501,201803,291000,2910.0,HOME,SALE,100,3,2,1,1,0,3,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,,3.0,1.0,2016,9,102,4.0,0,0,1,9.333558541889769,0.0985683612028767,7.390903421395133,-3.61239617915206,40.3698478605987,Madrid,HOME,SALE
94528,A3825132123082147094,201812,198000,1960.39603960396,HOME,SALE,101,4,2,1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,,2.0,1.0,1976,11,163,5.0,0,0,1,8.738427307466871,1.0428793973385506,7.237677244326647,-3.6102238388469,40.3836523238942,Madrid,HOME,SALE
71575,A4827218792989485200,201806,626000,6019.23076923077,HOME,SALE,104,3,2,0,1,1,3,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1971.0,4.0,2.0,1971,7,16,4.0,0,0,1,3.0687490960949173,0.1229078497988086,1.0357248227232685,-3.67641432787712,40.4346357522069,Madrid,HOME,SALE
33341,A9324548227923739927,201812,247000,2744.44444444444,HOME,SALE,90,4,2,1,1,0,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,,1.0,1.0,1997,6,151,4.0,0,1,0,7.404770536293184,0.3837241403226828,6.200855618058879,-3.62042834738521,40.3967062769,Madrid,HOME,SALE
41044,A9418308675208533558,201809,789000,4641.17647058824,HOME,SALE,170,3,2,1,1,1,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,,5.0,1.0,1957,9,19,4.0,0,0,1,2.861076126207952,0.4514855009110324,1.7953015564195616,-3.67083867541886,40.4110104939433,Madrid,HOME,SALE
28598,A19115572538688120,201809,199000,1617.88617886179,HOME,SALE,123,2,2,1,1,0,3,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,,1.0,1.0,2000,7,218,4.0,0,0,1,5.618534780000564,1.3172410785943407,2.985340182105366,-3.70892125971325,40.3662693781831,Madrid,HOME,SALE
344,A18391684958974379345,201803,435000,5000.0,HOME,SALE,87,3,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,5.0,,1910,4,7,3.0,0,1,0,0.6381909981083552,0.1537523603826704,1.3849602678582775,-3.7093716975171,40.4204381946644,Madrid,HOME,SALE
18532,A8223315270707879719,201812,472000,3966.38655462185,HOME,SALE,119,3,2,0,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1890.0,1.0,1.0,1890,5,19,4.0,0,0,1,1.563823365201215,0.1135737348972868,1.3251523577856517,-3.70516354520944,40.4305990951279,Madrid,HOME,SALE
78938,A14087220867699468540,201812,236000,3025.64102564103,HOME,SALE,78,3,1,0,1,1,3,0,0,15001,1,1,1,0,0,1,0,1,0,0,0,0,,3.0,1.0,1976,12,36,5.0,0,0,1,5.846331484550909,0.3259300705059629,2.6077830177780528,-3.71967107289856,40.4676987953676,Madrid,HOME,SALE
87961,A14806499112446389677,201803,755000,3665.04854368932,HOME,SALE,206,4,2,0,1,1,2,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,,1.0,1.0,1973,4,25,5.0,0,0,1,6.443440929276255,0.925181326266962,1.8805602360883624,-3.66614519120959,40.4668845435104,Madrid,HOME,SALE
88697,A9258647791684304611,201806,233000,2678.16091954023,HOME,SALE,87,3,2,1,1,0,3,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,,2.0,1.0,1965,8,127,4.0,0,0,1,6.80479310824907,0.989062512977202,4.018731413028554,-3.70396800630657,40.3554616538229,Madrid,HOME,SALE
72948,A8822558953866409276,201812,395000,4072.16494845361,HOME,SALE,97,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,,,1.0,1969,8,113,4.0,1,0,0,6.196691429988836,0.2556886351467927,6.358910911743665,-3.77000070746318,40.3929961580929,Madrid,HOME,SALE
39735,A17825554749293559048,201812,442000,3453.125,HOME,SALE,128,4,2,1,1,0,3,0,0,20001,0,0,0,1,0,1,0,1,0,0,0,0,,2.0,1.0,1964,8,34,4.0,0,0,1,1.4471379478536457,0.5993574446042412,2.2248142040888697,-3.72024431655698,40.4131186972593,Madrid,HOME,SALE
94256,A9318157928226014390,201812,193000,2838.23529411765,HOME,SALE,68,1,1,1,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1966.0,2.0,1.0,1966,8,32,5.0,0,0,1,4.848984854059861,0.2263337168231979,2.9265824394347018,-3.65466790495282,40.4389321255489,Madrid,HOME,SALE
77918,A10793034678975859161,201812,262000,2183.33333333333,HOME,SALE,120,3,2,1,1,1,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,7.0,1.0,1982,14,295,5.0,0,0,1,5.601499092523821,1.4833366605905625,3.2663741378102595,-3.65983643982109,40.379019466653,Madrid,HOME,SALE
6770,A11643101679703924481,201803,299000,1661.11111111111,HOME,SALE,180,3,2,1,1,1,3,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,,8.0,1.0,2001,8,175,4.0,0,0,1,4.3031951857876605,0.5504119801457726,1.3525245087951856,-3.69198485651476,40.3789937261196,Madrid,HOME,SALE
5228,A10251715731266679969,201803,450000,3947.36842105263,HOME,SALE,114,2,2,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,,,1.0,1998,5,3,4.0,0,0,1,7.941124654692219,0.286344159690176,3.0925368725513938,-3.72057094230784,40.48677413257,Madrid,HOME,SALE
40129,A16576017889223273676,201809,170000,5666.66666666667,HOME,SALE,30,1,1,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1969.0,,1.0,1969,6,29,3.0,0,0,1,1.2156024327416437,0.8061897324947765,2.0044506868844265,-3.71773168747587,40.4140262176251,Madrid,HOME,SALE
